Author,Work
Arrian,"Periplus Ponti Euxini"
Arrian,Tactica
Arrian,tlg001
"Artaxerxis Epistulae",Epistles
Artemidorus,tlg001
Asclepiodotus,Tactica
Asclepius,"In Aristotelis Metaphysicorum Libros A-Z Commentaria"
Aspasius,"In Ethica Nichomachea Commentaria"
Athanasius,"De Incarnatione Verbi"
Athanasius,"De decretis Nicaenae synodi"
Athanasius,"Oratio I contra Arianos"
Athanasius,"Oratio II contra Arianos"
Athanasius,"Oratio III contra Arianos"
Athanasius,"Oratio quarta contra Arianos [Sp.]"
"Athenaeus of Naucratis","The Deipnosophists"
Athenagoras,"De Resurrectione"
Athenagoras,"Legatio sive Supplicatio pro Christianis"
Autolycus,"De Ortibus et Occasibus"
Autolycus,"De Sphaera Quae Movetur"
Babrius,"Fabulae Aesopeae"
"Bacchius Geron","Isagoge artis musicae"
Bacchylides,Dithyrambs
Bacchylides,Epinicians
"Barnabae Epistula","Barnabae epistula"
"Barnabae Epistula","The Epistle of Barnabas"
"Basil, Saint, Bishop of Caesarea","De legendis gentilium libris"
"Basil, Saint, Bishop of Caesarea",Epistles
Batrachomyomachia,Batrachomyomachia
"Bion of Phlossa","Epitaphius Adonis"
"Bion of Phlossa","Epithalamium Achillis et Deidameiae"
"Bion of Phlossa",Fragmenta
"Bruti Epistulae",Epistles
Callimachus,Aetia
Callimachus,Epigrams
Callimachus,"Epigrams and Fragments"
Callimachus,Hecala
Callimachus,"Hymn to Apollo"
Callimachus,"Hymn to Artemis"
Callimachus,"Hymn to Athena"
Callimachus,"Hymn to Delos"
Callimachus,"Hymn to Demeter"
Callimachus,"Hymn to Zeus"
Callimachus,Iambi
Callinicus,Fragmenta
Callistratus,Descriptiones
"Canticum Euripidis","Ex Orestis Stasimo I"
"Carmina Delphis Inventa","Carmina Delphis Inventa"
"Cassius Dio Cocceianus","Historia Romana"
"Cassius Iatrosophista","Quaestiones medicae et problemata physica"
"Cassius Longinus","Ars rhetorica"
"Cassius Longinus",Excerpta
"Cassius Longinus",Fragmenta
"Catenae (Novum Testamentum)","Catena In Acta (Catena Andreae) (e cod. Oxon. coll. nov. 58)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Colossenses (Typus Parisinus) (E Cod. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Ephesios (Typus Parisinus) (E Cod. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Galatas (Typus Parisinus) (E Cod. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Hebraeos (E Cod. Paris. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Philemonem (E Cod. Paris. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Philippenses (Typus Parisinus) (e cod. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Romanos (Typus Monacensis) (E Cod. Monac. gr. 412)"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Romanos (Typus Vaticanus) (E Cod. Oxon. Bodl. Auct. E.2.20 [= Misc. 48])"
"Catenae (Novum Testamentum)","Catena In Epistulam Ad Titum (E Cod. Paris. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam I Ad Corinthios (Typus Vaticanus) (e Cod. Paris. gr. 227)"
"Catenae (Novum Testamentum)","Catena In Epistulam I Ad Thessalonicenses (Typus Parisinus)"
"Catenae (Novum Testamentum)","Catena In Epistulam I Ad Timotheum (E Cod. Paris. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam II Ad Corinthios (Catena Pseudo-Oecumenii)"
"Catenae (Novum Testamentum)","Catena In Epistulam II Ad Thessalonicenses (Typus Parisinus)"
"Catenae (Novum Testamentum)","Catena In Epistulam II Ad Timotheum (E Cod. Paris. Coislin. 204)"
"Catenae (Novum Testamentum)","Catena In Epistulam Jacobi (Catena Andreae)"
"Catenae (Novum Testamentum)","Catena In Joannem (Catena Integra) (e codd. Paris. Coislin. 23 + Oxon. Bodl. Auct. T.1.4)"
"Catenae (Novum Testamentum)","Catena In Lucam (Typus B) (e codd. Paris. Coislin. 23 + Oxon. Bodl. Misc. 182)"
"Catenae (Novum Testamentum)","Catena In Marcum (Recensio ii) (E Codd. Oxon. Bodl. Laud. 33 + Paris. Coislin. 23 + Paris. gr. 178)"
"Catenae (Novum Testamentum)","Catena In Matthaeum (Catena Integra) (E Cod. Paris. Coislin. Gr. 23)"
"Catenae (Novum Testamentum)","Catena in epistulam Joannis i (catena Andreae) (e cod. Oxon. coll. nov. 58)"
"Catenae (Novum Testamentum)","Catena in epistulam Joannis ii (catena Andreae) (e cod. Oxon. coll. nov. 58)."
"Catenae (Novum Testamentum)","Catena in epistulam Joannis iii (catena Andreae) (e cod. Oxon. coll. nov. 58)"
"Catenae (Novum Testamentum)","Catena in epistulam Juda (catena Andreae) (e cod. Oxon. coll. nov. 58)"
