Author,Work
"Dionysius of Halicarnassus","De Demosthenis dictione"
"Dionysius of Halicarnassus","De Dinarcho"
"Dionysius of Halicarnassus","De Isaeo"
"Dionysius of Halicarnassus","De Isocrate"
"Dionysius of Halicarnassus","De Lysia"
"Dionysius of Halicarnassus","De Thucydide"
"Dionysius of Halicarnassus","De Thucydidis idiomatibus"
"Dionysius of Halicarnassus","De antiquis oratoribus"
"Dionysius of Halicarnassus","De compositione verborum (epitome)"
"Dionysius of Halicarnassus","De imitatione (fragmenta)"
"Dionysius of Halicarnassus","Epistula ad Pompeium Geminum"
"Dionysius of Halicarnassus","Libri secundi de antiquis oratoribus reliquiae"
"Dionysius, Calliphontis","Descriptio Graeciae"
"Diophantus Alexandrinus","Fragmentum [Sp.] (e cod. Paris. 453)"
"Diophantus Alexandrinus","Fragmentum [Sp.] (e cod. Paris. gr. 2448)"
"Diophantus Alexandrinus","Fragmentum [Sp.] (e cod. Paris. suppl. gr. 387, fol. 181r)"
"Dioscurides Pedianus","De materia medica"
"Dioscurides Pedianus","Euporista vel De simplicibus medicinis"
"Dorotheus of Sidon","Fragmenta alia antiqua"
